paper_id,claim,figure_id,title,caption,local_image_path,url
PMC10112383,"VDR protein levels were detected in all cells, and generally were elevated following 1α,25(OH)2D3 treatment, which was most pronounced in nonmalignant AA RC43N cells; RC77T cells did not change VDR expression in response to 1α,25(OH)2D3 (Fig. 1A).",PMC10112383_figure_1,FIGURE 1.,"Expression of VDR and responses to 1α,25(OH)2D3 in AA and EA cell lines. A, Western immunoblot measurements of VDR levels after 1α,25(OH)2D3 treatment (100 nmol/L, 24 hours) or vehicle control. B, RIME analyses of VDR in the indicated cells (in quadriplicates) and significantly different proteins were identified using an edgeR workflow. Volcano plots depicting enrichment levels, compared with IgG controls, between the indicated cells in basal or 1α,25(OH)2D3-stimulated conditions (100 nmol/L, 4 hours). Significant (Padj < 0.1) differentially and uniquely enriched proteins in each cell and treatment condition were classified either as a CoA, CoR, Mixed, or TF. C, The most altered components of the VDR complex were established in RC43T compared with LNCaP, and RC43N with HPr1AR, and then the delta between these comparisons were identified and ranked.",./data/PMC10112383/images/figure_1.jpg,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/051e/10112383/efa4c1e0d84c/crc-22-0389_fig1.jpg
PMC10112383,"In RC43T compared with LNCaP, the basal VDR was enriched for the TF, SAFB2 and following 1α,25(OH)2D3 treatment there was a gain of the NFκB CoR PPP1R13L, TRIM29 and TGFB1, and loss of PARP1 (Fig. 1B; Supplementary Table S2).",PMC10112383_figure_1,FIGURE 1.,"Expression of VDR and responses to 1α,25(OH)2D3 in AA and EA cell lines. A, Western immunoblot measurements of VDR levels after 1α,25(OH)2D3 treatment (100 nmol/L, 24 hours) or vehicle control. B, RIME analyses of VDR in the indicated cells (in quadriplicates) and significantly different proteins were identified using an edgeR workflow. Volcano plots depicting enrichment levels, compared with IgG controls, between the indicated cells in basal or 1α,25(OH)2D3-stimulated conditions (100 nmol/L, 4 hours). Significant (Padj < 0.1) differentially and uniquely enriched proteins in each cell and treatment condition were classified either as a CoA, CoR, Mixed, or TF. C, The most altered components of the VDR complex were established in RC43T compared with LNCaP, and RC43N with HPr1AR, and then the delta between these comparisons were identified and ranked.",./data/PMC10112383/images/figure_1.jpg,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/051e/10112383/efa4c1e0d84c/crc-22-0389_fig1.jpg
PMC10112383,"Next, we identified those differentially enriched proteins that were altered the most depending on genomic ancestry and oncogenic transformation (Fig. 1C).",PMC10112383_figure_1,FIGURE 1.,"Expression of VDR and responses to 1α,25(OH)2D3 in AA and EA cell lines. A, Western immunoblot measurements of VDR levels after 1α,25(OH)2D3 treatment (100 nmol/L, 24 hours) or vehicle control. B, RIME analyses of VDR in the indicated cells (in quadriplicates) and significantly different proteins were identified using an edgeR workflow. Volcano plots depicting enrichment levels, compared with IgG controls, between the indicated cells in basal or 1α,25(OH)2D3-stimulated conditions (100 nmol/L, 4 hours). Significant (Padj < 0.1) differentially and uniquely enriched proteins in each cell and treatment condition were classified either as a CoA, CoR, Mixed, or TF. C, The most altered components of the VDR complex were established in RC43T compared with LNCaP, and RC43N with HPr1AR, and then the delta between these comparisons were identified and ranked.",./data/PMC10112383/images/figure_1.jpg,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/051e/10112383/efa4c1e0d84c/crc-22-0389_fig1.jpg
PMC10112383,"The greatest 1α,25(OH)2D3-dependent impact on NF and mononucleosome (mono) regions was in RC43N and RC43T (Fig. 2A, left, right).",PMC10112383_figure_2,FIGURE 2.,"VDR ATAC-seq in AA and EA cell lines. A, ATAC-seq was undertaken in triplicate in HPr1AR, LNCaP, RC43N, and RC43T following 1α,25(OH)2D3 treatment (100 nmol/L, 4 hours) or vehicle control. FASTQ files were QC processed, aligned to hg38 (Rsubread), sorted and duplicates removed before further processing with ATACseqQC to generate nucleosome free and mononucleosome regions. Differential enrichment of regions was measured with csaw and the significantly different regions (Padj < 0.1) were then intersected to generate the Venn diagrams of overlapping regions by a minimum of 1 bp (ChIPpeakAnno). B, Motif enrichment in NF regions was undertaken with Homer and ranked by significance to visualize in descending significance. C, Frequency of enriched motifs by TF families’ class. D, Enrichment of circadian rhythm TFs.",./data/PMC10112383/images/figure_2.jpg,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/051e/10112383/c41adce460c5/crc-22-0389_fig2.jpg
PMC10112383,Others nuclear receptor motifs such as NR4A1/NUR77 and PGR were common (Fig. 3B; Supplementary Table S6).,PMC10112383_figure_3,FIGURE 3.,"VDR ChIP-seq in AA and EA cell lines. A, Basal and 1α,25(OH)2D3-stimulated (100 nmol/L, 6 hours) VDR ChIP-seq was undertaken in triplicate in HPr1AR, LNCaP, RC43N, and RC43T. FASTQ files were QC processed, aligned to hg38 (Rsubread), sorted and duplicates removed before differential enrichment of regions was measured with csaw and the significantly different regions compared with IgG controls (Padj < 0.1) were then intersected to generate the Venn diagrams of overlapping regions by a minimum of 1 bp (ChIPpeakAnno). B, Significantly differentially enriched motifs were identified by Homer and nuclear receptors are illustrated. C, Changes in motif enrichment were calculated (delta) and ranked by significance for visualization.",./data/PMC10112383/images/figure_3.jpg,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/051e/10112383/d9a81bad5ca0/crc-22-0389_fig3.jpg
PMC10112383,"Again, delta enrichment values (Fig. 3C) revealed that 1α,25(OH)2D3 treatment reduced motif enrichment in LNCaP, RC43N, and RC43T cells suggesting that VDR binding sites became more exclusive.",PMC10112383_figure_3,FIGURE 3.,"VDR ChIP-seq in AA and EA cell lines. A, Basal and 1α,25(OH)2D3-stimulated (100 nmol/L, 6 hours) VDR ChIP-seq was undertaken in triplicate in HPr1AR, LNCaP, RC43N, and RC43T. FASTQ files were QC processed, aligned to hg38 (Rsubread), sorted and duplicates removed before differential enrichment of regions was measured with csaw and the significantly different regions compared with IgG controls (Padj < 0.1) were then intersected to generate the Venn diagrams of overlapping regions by a minimum of 1 bp (ChIPpeakAnno). B, Significantly differentially enriched motifs were identified by Homer and nuclear receptors are illustrated. C, Changes in motif enrichment were calculated (delta) and ranked by significance for visualization.",./data/PMC10112383/images/figure_3.jpg,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/051e/10112383/d9a81bad5ca0/crc-22-0389_fig3.jpg
PMC10112383,"For example, RIME data (Fig. 1) were related to VDR cistromes (Fig. 2 and 3) within each cell.",PMC10112383_figure_1,FIGURE 1.,"Expression of VDR and responses to 1α,25(OH)2D3 in AA and EA cell lines. A, Western immunoblot measurements of VDR levels after 1α,25(OH)2D3 treatment (100 nmol/L, 24 hours) or vehicle control. B, RIME analyses of VDR in the indicated cells (in quadriplicates) and significantly different proteins were identified using an edgeR workflow. Volcano plots depicting enrichment levels, compared with IgG controls, between the indicated cells in basal or 1α,25(OH)2D3-stimulated conditions (100 nmol/L, 4 hours). Significant (Padj < 0.1) differentially and uniquely enriched proteins in each cell and treatment condition were classified either as a CoA, CoR, Mixed, or TF. C, The most altered components of the VDR complex were established in RC43T compared with LNCaP, and RC43N with HPr1AR, and then the delta between these comparisons were identified and ranked.",./data/PMC10112383/images/figure_1.jpg,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/051e/10112383/efa4c1e0d84c/crc-22-0389_fig1.jpg
PMC10112383,"For example, RIME data (Fig. 1) were related to VDR cistromes (Fig. 2 and 3) within each cell.",PMC10112383_figure_2,FIGURE 2.,"VDR ATAC-seq in AA and EA cell lines. A, ATAC-seq was undertaken in triplicate in HPr1AR, LNCaP, RC43N, and RC43T following 1α,25(OH)2D3 treatment (100 nmol/L, 4 hours) or vehicle control. FASTQ files were QC processed, aligned to hg38 (Rsubread), sorted and duplicates removed before further processing with ATACseqQC to generate nucleosome free and mononucleosome regions. Differential enrichment of regions was measured with csaw and the significantly different regions (Padj < 0.1) were then intersected to generate the Venn diagrams of overlapping regions by a minimum of 1 bp (ChIPpeakAnno). B, Motif enrichment in NF regions was undertaken with Homer and ranked by significance to visualize in descending significance. C, Frequency of enriched motifs by TF families’ class. D, Enrichment of circadian rhythm TFs.",./data/PMC10112383/images/figure_2.jpg,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/051e/10112383/c41adce460c5/crc-22-0389_fig2.jpg
PMC10112383,"The 1α,25(OH)2D3-dependent NF regions in RC43T annotated to multiple proteins that were enriched in the basal VDR complex (logPV = 26.8) including VDR and XRCC5 and given that these represent loss of NF regions it may reflect why the number of proteins in the 1α,25(OH)2D3-regulated VDR complex in RC43T is much reduced compared with the basal state (Fig. 1B).",PMC10112383_figure_1,FIGURE 1.,"Expression of VDR and responses to 1α,25(OH)2D3 in AA and EA cell lines. A, Western immunoblot measurements of VDR levels after 1α,25(OH)2D3 treatment (100 nmol/L, 24 hours) or vehicle control. B, RIME analyses of VDR in the indicated cells (in quadriplicates) and significantly different proteins were identified using an edgeR workflow. Volcano plots depicting enrichment levels, compared with IgG controls, between the indicated cells in basal or 1α,25(OH)2D3-stimulated conditions (100 nmol/L, 4 hours). Significant (Padj < 0.1) differentially and uniquely enriched proteins in each cell and treatment condition were classified either as a CoA, CoR, Mixed, or TF. C, The most altered components of the VDR complex were established in RC43T compared with LNCaP, and RC43N with HPr1AR, and then the delta between these comparisons were identified and ranked.",./data/PMC10112383/images/figure_1.jpg,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/051e/10112383/efa4c1e0d84c/crc-22-0389_fig1.jpg
PMC10112383,"This identified 27 altered coregulators in AA patients, and from these, five were uniquely or more significantly altered in AA compared with EA TMPRSS2 fusion negative prostate cancer (Fig. 5A).",PMC10112383_figure_5,FIGURE 5.,"The impact of BAZ1A on expression of VDR-dependent gene networks. A, Altered BAZ1A and SMARCA5 expression in AA prostate cancer was identified in TCGA prostate cancer cohort by comparing EA and AA tumors and considering status of TMPRSS2 translocations. B, The blot used for Fig. 1A (cells treated with 1α,25(OH)2D3 (100 nmol/L, 24 hours) or vehicle control and total protein isolated) was stripped and reprobed with antibodies toward BAZ1A and SMARCA5. C, Unique DEGs in cells with restored expression of BAZ1A. D, BAZ1A-dependent DEGs enhanced inflammatory responses and repressed MYC networks. E, Comparable and divergent GSEA enrichment in BAZ1A-dependent DEGS in RC43N and RC43T that were different from the direction of enrichment in the parental cells.",./data/PMC10112383/images/figure_5.jpg,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/051e/10112383/0e5ebcdbe8b0/crc-22-0389_fig5.jpg
