paper_id,claim,figure_id,title,caption,local_image_path,url,class
PMC4870313,"Accordingly, the number of citable articles has also grown during the same period: 378 (96.4%) of the total 392 articles were citable articles (Fig. 1).",PMC4870313_figure_5,Fig. 6. Changing pattern of total citations of Clinics in Orthopedic Surgery articles from Web of Science Core Collection database [cited 2016 Jan 28].,,./data/PMC4870313/images/figure_5.jpg,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/1141/4870313/47937c8898d1/cios-8-127-g006.jpg,NEUTRAL
PMC4870313,The proportion of funded research has fluctuated during the period: 9.4% in 2010 as opposed to 25.0% in 2014 (Fig. 2).,PMC4870313_figure_3,Fig. 4. Countries of authors of 392 articles published in Clinics in Orthopedic Surgery between 2009 and 2015.,,./data/PMC4870313/images/figure_3.jpg,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/1141/4870313/6be07749a582/cios-8-127-g004.jpg,NEUTRAL
PMC4870313,"The editorial board consists of 61 specialists in their respective fields from 13 different countries: 25 from Korea, 13 from USA, 11 from Japan, and 12 from 10 other countries (Fig. 3).",PMC4870313_figure_1,Fig. 2. Number of funded and unfunded articles of Clinics in Orthopedic Surgery.,,./data/PMC4870313/images/figure_1.jpg,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/1141/4870313/1af728b3f97c/cios-8-127-g002.jpg,NEUTRAL
PMC4870313,"Authors of CiOS were from 20 countries: most of the authors were Korean (319, 81.4%), followed by American (22, 5.6%), Japanese (13, 3.3%), and Indian (12, 3.1%) (Fig. 4).",PMC4870313_figure_3,Fig. 4. Countries of authors of 392 articles published in Clinics in Orthopedic Surgery between 2009 and 2015.,,./data/PMC4870313/images/figure_3.jpg,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/1141/4870313/6be07749a582/cios-8-127-g004.jpg,NEUTRAL
PMC4870313,"The largest number of citing authors was in the USA (321), followed by Korea (170), and China (132) (Fig. 5).",PMC4870313_figure_1,Fig. 2. Number of funded and unfunded articles of Clinics in Orthopedic Surgery.,,./data/PMC4870313/images/figure_1.jpg,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/1141/4870313/1af728b3f97c/cios-8-127-g002.jpg,NEUTRAL
PMC4870313,"The proportion of funded original articles (18.4%) was comparable to the following journals (Fig. 2): Diabetes & Metabolism Journal, 43.9%;2)
Clinical and Experimental Reproductive Medicine, 39.8%;3)
International Neurourology Journal, 38.6%;4)
Clinical Endoscopy, 38.2%;5)
Annals of Rehabilitation Medicine, 34.2%;6)
Neurointervention 29.0%;7) and Journal of Educational Evaluation for Health Professions, 29.0%.8) The proportion of funded articles is important in that it can inform researchers of important current topics not only in the academic society but also in a specific country and researchers can learn about the development trends in specific fields based on the observation of funding sources and frequent research topics.",PMC4870313_figure_5,Fig. 6. Changing pattern of total citations of Clinics in Orthopedic Surgery articles from Web of Science Core Collection database [cited 2016 Jan 28].,,./data/PMC4870313/images/figure_5.jpg,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/1141/4870313/47937c8898d1/cios-8-127-g006.jpg,NEUTRAL
PMC4870313,"Currently, the editorial board members of CiOS are from 13 different countries; there should be additional recruitment from more than 20 countries to promote submission of manuscripts from all over the world (Fig. 3).",PMC4870313_figure_1,Fig. 2. Number of funded and unfunded articles of Clinics in Orthopedic Surgery.,,./data/PMC4870313/images/figure_1.jpg,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/1141/4870313/1af728b3f97c/cios-8-127-g002.jpg,NEUTRAL
PMC4870313,"A predominantly large number of articles (366 out of 392, 91.8%) were submitted only by authors from Korea, USA, Japan, and India, which can be overcome by recruiting new editorial board members from a variety of countries (Fig. 4).",PMC4870313_figure_1,Fig. 2. Number of funded and unfunded articles of Clinics in Orthopedic Surgery.,,./data/PMC4870313/images/figure_1.jpg,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/1141/4870313/1af728b3f97c/cios-8-127-g002.jpg,NEUTRAL
PMC4870313,Citation of articles by researchers from 66 different countries can be considered an indication that the journal has strived to fulfill the aim of promoting communication regarding orthopedic problems and advanced patient care (Fig. 5).,PMC4870313_figure_4,Fig. 5. Countries of authors who cited Clinics in Orthopedic Surgery articles from Web of Science Core Collection database [cited 2016 Jan 28].,,./data/PMC4870313/images/figure_4.jpg,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/1141/4870313/976514edb7d5/cios-8-127-g005.jpg,NEUTRAL
PMC12386565,"In total, 27 were included within the narrative synthesis (please refer to Figure 1—Flow diagram of the review).",PMC12386565_figure_3,Figure 3.,Absolute frequency for publication year of included studies.,./data/PMC12386565/images/figure_3.jpg,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/54d8/12386565/86aae0301e1d/ijerph-22-01177-g003.jpg,NEUTRAL
PMC12386565,"The remaining ones were carried out in Europe—one in Portugal, two in the United Kingdom (UK), one from a partnership between the UK, Spain, Germany, and The Netherlands (please refer to Figure 2).",PMC12386565_figure_4,Figure 4.,Absolute frequency for aims observed in studies included.,./data/PMC12386565/images/figure_4.jpg,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/54d8/12386565/4d3096ce8fa9/ijerph-22-01177-g004.jpg,NEUTRAL
